,COUNTYFP,TRACTCE,GEOID,geometry,Estimated Pop. Under 5,Percent Under 5
47,047,029900,36047029900,"POLYGON ((-73.930199 40.678026, -73.929058 40.679277, -73.925266 40.679073, -73.924593 40.679032, -73.921646 40.67887, -73.921816 40.677019, -73.923779 40.677118, -73.926594 40.677278, -73.930322 40.677485, -73.930199 40.678026))",88,3.6
48,047,097000,36047097000,"POLYGON ((-73.90929 40.648817, -73.907615 40.649896, -73.9058 40.648265, -73.903982 40.646629, -73.905655 40.645549, -73.907084 40.644623, -73.908899 40.646256, -73.910716 40.647888, -73.90929 40.648817))",180,6.7
49,047,035101,36047035101,"POLYGON ((-73.933798 40.669891, -73.933635 40.671626, -73.930868 40.671474, -73.930952 40.670583, -73.931119 40.668798, -73.933888 40.66895, -73.933798 40.669891))",249,9.7
50,005,018501,36005018501,"POLYGON ((-73.911694 40.827759, -73.90896 40.830226, -73.906571 40.829452, -73.908461 40.824624, -73.908709 40.824067, -73.91131 40.824849, -73.911694 40.827759))",253,8.2
51,081,144700,36081144700,"POLYGON ((-73.777403 40.758214, -73.773781 40.759165, -73.772035 40.759636, -73.770275 40.760083, -73.769337 40.760254, -73.768276 40.758261, -73.76767 40.756907, -73.767148 40.75565, -73.768316 40.755466, -73.775355 40.753354, -73.775878 40.753261, -73.776332 40.75464, -73.777403 40.758214))",137,4.0
52,047,016700,36047016700,"POLYGON ((-73.981225 40.663347, -73.980724 40.66395, -73.980222 40.664552, -73.97972 40.665155, -73.979224 40.665749, -73.978715 40.666361, -73.978212 40.666963, -73.977717 40.66757, -73.975337 40.666419, -73.976334 40.665214, -73.977343 40.664012, -73.978349 40.662799, -73.979654 40.661241, -73.980171 40.661155, -73.982231 40.662142, -73.981225 40.663347))",491,10.1
53,085,012100,36085012100,"POLYGON ((-74.11619 40.628941, -74.113359 40.629282, -74.111227 40.629685, -74.109299 40.63004, -74.108113 40.630256, -74.105768 40.630569, -74.105063 40.627178, -74.104844 40.626207, -74.104588 40.625098, -74.104256 40.623682, -74.104453 40.622913, -74.106822 40.621794, -74.110015 40.620688, -74.110944 40.621195, -74.113309 40.623042, -74.116143 40.628702, -74.11619 40.628941))",240,7.8
54,005,022200,36005022200,"POLYGON ((-73.861012 40.834597, -73.85813 40.835002, -73.857531 40.835175, -73.855858 40.835897, -73.855125 40.836049, -73.855447 40.837463, -73.854458 40.83757, -73.853488 40.837676, -73.853877 40.839741, -73.854151 40.840617, -73.853035 40.840735, -73.852914 40.840086, -73.852331 40.83701, -73.852207 40.836347, -73.85207 40.835625, -73.851684 40.834201, -73.853471 40.834015, -73.854651 40.833888, -73.857732 40.833558, -73.859056 40.833413, -73.860344 40.833294, -73.860851 40.833614, -73.860906 40.83399, -73.861012 40.834597))",237,7.5
55,061,015802,36061015802,"POLYGON ((-73.952058 40.787222, -73.951609 40.787858, -73.949981 40.787173, -73.948378 40.786497, -73.948827 40.785881, -73.949332 40.785194, -73.950174 40.785549, -73.950927 40.785866, -73.952551 40.786549, -73.952058 40.787222))",219,5.1
56,047,012000,36047012000,"POLYGON ((-74.016306 40.635896, -74.011908 40.633234, -74.011326 40.633795, -74.010742 40.634357, -74.007023 40.63211, -74.007739 40.63163, -74.008456 40.63115, -74.009224 40.630634, -74.010004 40.630113, -74.015139 40.633217, -74.015643 40.633529, -74.016752 40.63544, -74.016306 40.635896))",125,9.6
